id,flight_number,name,date_utc,date_local,success,details,rocket_id,launchpad_id,payloads,ships,capsules,failures,timestamp
5eb87cd9ffd86e000604b32a,1,FalconSat,2006-03-24 22:30:00+00:00,2006-03-25T10:30:00+12:00,0.0,Engine failure at 33 seconds and loss of vehicle,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"[""5eb0e4b5b6c3bb0006eeb1e1""]",[],[],"[{""time"": 33, ""altitude"": null, ""reason"": ""merlin engine failure""}]",2025-03-02 07:50:17.907574
5eb87cdaffd86e000604b32b,2,DemoSat,2007-03-21 01:10:00+00:00,2007-03-21T13:10:00+12:00,0.0,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"[""5eb0e4b6b6c3bb0006eeb1e2""]",[],[],"[{""time"": 301, ""altitude"": 289, ""reason"": ""harmonic oscillation leading to premature engine shutdown""}]",2025-03-02 07:50:17.907574
5eb87cdbffd86e000604b32c,3,Trailblazer,2008-08-03 03:34:00+00:00,2008-08-03T15:34:00+12:00,0.0,Residual stage 1 thrust led to collision between stage 1 and stage 2,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"[""5eb0e4b6b6c3bb0006eeb1e3"", ""5eb0e4b6b6c3bb0006eeb1e4""]",[],[],"[{""time"": 140, ""altitude"": 35, ""reason"": ""residual stage-1 thrust led to collision between stage 1 and stage 2""}]",2025-03-02 07:50:17.907574
5eb87cdbffd86e000604b32d,4,RatSat,2008-09-28 23:15:00+00:00,2008-09-28T11:15:00+12:00,1.0,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"[""5eb0e4b7b6c3bb0006eeb1e5""]",[],[],[],2025-03-02 07:50:17.907574
5eb87cdcffd86e000604b32e,5,RazakSat,2009-07-13 03:35:00+00:00,2009-07-13T15:35:00+12:00,1.0,No details available,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,"[""5eb0e4b7b6c3bb0006eeb1e6""]",[],[],[],2025-03-02 07:50:17.923197
5eb87cddffd86e000604b32f,6,Falcon 9 Test Flight,2010-06-04 18:45:00+00:00,2010-06-04T14:45:00-04:00,1.0,No details available,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"[""5eb0e4b7b6c3bb0006eeb1e7""]",[],[],[],2025-03-02 07:50:17.923197
5eb87cdeffd86e000604b330,7,COTS 1,2010-12-08 15:43:00+00:00,2010-12-08T11:43:00-04:00,1.0,No details available,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"[""5eb0e4b9b6c3bb0006eeb1e8"", ""5eb0e4b9b6c3bb0006eeb1e9""]","[""5ea6ed2d080df4000697c901""]","[""5e9e2c5bf35918ed873b2664""]",[],2025-03-02 07:50:17.923197
5eb87cdfffd86e000604b331,8,COTS 2,2012-05-22 07:44:00+00:00,2012-05-22T03:44:00-04:00,1.0,"Launch was scrubbed on first attempt, second launch attempt was successful",5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"[""5eb0e4bab6c3bb0006eeb1ea""]","[""5ea6ed2d080df4000697c901""]","[""5e9e2c5bf3591882af3b2665""]",[],2025-03-02 07:50:17.923197
5eb87ce0ffd86e000604b332,9,CRS-1,2012-10-08 00:35:00+00:00,2012-10-08T20:35:00-04:00,1.0,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"[""5eb0e4bab6c3bb0006eeb1eb"", ""5eb0e4bab6c3bb0006eeb1ec""]","[""5ea6ed2d080df4000697c902""]","[""5e9e2c5bf3591835983b2666""]",[],2025-03-02 07:50:17.923197
5eb87ce1ffd86e000604b333,10,CRS-2,2013-03-01 19:10:00+00:00,2013-03-01T15:10:00-04:00,1.0,Last launch of the original Falcon 9 v1.0 launch vehicle,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"[""5eb0e4bbb6c3bb0006eeb1ed""]","[""5ea6ed2d080df4000697c902""]","[""5e9e2c5bf359189ef23b2667""]",[],2025-03-02 07:50:17.923197
